Grad Year,Total Time,Degree,Transfer
2000,7,PHYS,T
2000,5,PHYS,
2000,0,PHYS,T
2000,5,PHYS,
2000,7,PHYS,
2000,4,PHYS,
2000,7,PHYS,T
,,,
2002,5,PHYS,T
2002,4,PHYS,
2002,6,PHYS,
2002,4,PHYS,
2002,4,PHYS,
2002,5,DUAL,
2002,4,PHYS,
2002,6,PHYS,
,,,
2003,5,PHYS+MATH,
2003,4,PHYS,
2003,5,PHYS,
2003,6,PHYS,T
2003,4,PHYS,
2003,7,PHYS,T
2003,4,PHYS+ED,
2003,7,PHYS,T
2003,3,PHYS+MATH,
,,,
2004,4,PHYS,
2004,4,PHYS,
2004,3,PHYS,
2004,4,PHYS,
2004,0,PHYS,
2004,0,PHYS,
,,,
2005,4,PHYS,T
2005,5,PHYS,T
2005,4,PHYS,
2005,7,PHYS,T
2005,4,PHYS,
2005,3,PHYS,
2005,4,PHYS,
2005,7,PHYS,T
2005,4,PHYS,
2005,4,PHYS,
,,,
2006,6,PHYS,T
2006,7,PHYS,T
2006,7,PHYS,T
2006,5,PHYS,
,,,
2007,7,PHYS,T
2007,0,PHYS,
2007,7,DUAL,T
2007,7,PHYS,T
,,,
2008,7,PHYS,T
2008,5,PHYS,
2008,4,PHYS,
2008,5,PHYS,
2008,5,DUAL,
,,,
2009,7,PHYS+MATH,T
2009,4,PHYS,
2009,4,PHYS,
2009,6,DUAL,
2009,7,PHYS,T
2009,7,PHYS,
2009,7,PHYS+MATH,T
2009,5,PHYS,T
2009,7,DUAL,T
2009,5,PHYS,
2009,5,PHYS+MATH,T
2009,6,PHYS,
,,,
2010,4,PHYS,
2010,6,DUAL,
2010,3,PHYS,
2010,0,PHYS,
2010,2,PHYS,
2010,4,PHYS,T
2010,4,PHYS,
2010,7,PHYS,
2010,5,PHYS,
2010,4,DUAL,
2010,5,DUAL,
,,,
2011,7,DUAL,
2011,5,PHYS,
2011,7,PHYS,T
2011,4,PHYS,
2011,4,PHYS,
2011,4,PHYS,
2011,5,DUAL,
2011,5,PHYS,
2011,5,PHYS,
,,,
2012,6,PHYS,
2012,5,PHYS+MATH,
2012,4,PHYS,
2012,7,PHYS,T
2012,7,PHYS,T
2012,4,PHYS+CHEM,
2012,4,PHYS,
2012,5,PHYS,T
2012,5,PHYS,
2012,7,PHYS,T
2012,4,PHYS,
2012,3,PHYS,
2012,6,PHYS,
2012,7,PHYS+CHEM+MATH,
2012,7,PHYS,
2012,4,PHYS,
2012,6,PHYS,T
2012,5,PHYS,
2012,4,PHYS,
2012,4,PHYS,
2012,5,PHYS,
2012,4,PHYS,
,,,
2013,4,PHYS,
2013,5,PHYS,
2013,5,DUAL,
2013,4,PHYS,
2013,7,PHYS,T
2013,4,PHYS,
2013,4,PHYS,
2013,0,PHYS,
2013,3,PHYS+BIOL,
2013,7,PHYS,T
2013,7,PHYS,
2013,4,PHYS,
2013,5,DUAL,
2013,5,DUAL,
,,,
2014,4,PHYS,
2014,2,PHYS,
2014,6,DUAL,
2014,5,PHYS,
2014,4,PHYS,
2014,7,PHYS,T
2014,7,PHYS,T
2014,5,PHYS+MATH,
2014,4,PHYS,
2014,7,PHYS,
2014,4,PHYS,
2014,4,PHYS,
2014,5,DUAL,
2014,4,PHYS,
2014,5,DUAL,
2014,5,DUAL,
2014,4,PHYS,
2014,7,PHYS,T
2014,4,PHYS,
2014,4,PHYS,
2014,5,DUAL,
,,,
2015,5,PHYS+MATH,
2015,7,PHYS,T
2015,5,PHYS,T
2015,5,PHYS+MATH,T
2015,3,PHYS,
2015,7,PHYS,
2015,6,DUAL,
2015,4,PHYS,
2015,5,PHYS,T
2015,7,PHYS,T
2015,7,PHYS,T
,,,
2016,5,PHYS,
2016,7,PHYS,T
2016,6,DUAL,
2016,4,PHYS,
2016,6,PHYS+MATH,
2016,5,PHYS,
2016,4,PHYS,
2016,5,PHYS+MATH,
2016,7,PHYS,T
2016,3,PHYS,
2016,4,PHYS,
2016,7,PHYS,T
,,,
2017,7,PHYS,T
2017,4,DUAL,
2017,6,PHYS,T
2017,4,PHYS,
2017,7,DUAL,
2017,7,PHYS,T
2017,7,PHYS,T
2017,4,DUAL,
2017,7,PHYS,
2017,4,PHYS,
2017,5,PHYS,
2017,7,PHYS,T
2017,4,PHYS,
2017,7,PHYS,T
2017,7,PHYS,
2017,5,DUAL,
2017,5,DUAL,
,,,
2018,4,PHYS+CHEM,
2018,6,PHYS,
2018,7,PHYS,
2018,6,DUAL,
2018,6,DUAL,
2018,4,PHYS,
2018,7,DUAL,T
2018,6,PHYS,
2018,4,PHYS,
2018,6,DUAL,
2018,6,DUAL,
2018,4,PHYS,
2018,4,PHYS,
2018,6,DUAL,